"nid","Street","Postalcode","City","Latitude","Longitude","type","Betaling","Bemanding","Kanylebeholder","Puslebord","Vandhane","Body","Term","Billeder"
"476","Arnagervej 28","3700","Rønne","55.052945","14.777531","Handicap","Nej","Nej","Nej","Ja","Ja","Placering: P-plads ved Arnager Havn.
Åbningsperiode: hele året.","Bornholm","sites/default/files/images/475/2017/07/arnagervej281.jpg"
"718","Borrelyngsvej 58","3770","Allinge","55.259545","14.764838","Handicap","Nej","Nej","Nej","Ja","Ja","Placering: Slotslyngen
National cykelrute 10
Åbningsperiode:  Åbent","Bornholm","sites/default/files/images/475/2020/07/borrelyngsvej.jpg"
"423","Boulevarden 16","3730","Nexø","55.039210","15.108704","Handicap","Nej","Nej","Ved ikke","Ja","Ja","Placering: Ved Balka strand og Café.
Åbningsperiode: lukket fra 1. nov. -31. april.","Bornholm","sites/default/files/images/475/2017/06/boulevarden16.jpg"
"431","Bykilden","3740","Svaneke","55.136031","15.140033","Handicap","Nej","Nej","Ved ikke","Ja","Ja","Placering: Bykilden, bag ved Svaneke Bryghus.
Åbningsperiode: hele året.","Bornholm","sites/default/files/images/475/2017/06/bykilden41_0.jpg"
"399","Bådehavnsvej 13","3700","Rønne","55.103691","14.691615","Handicap","Nej","Nej","Nej","Nej","Ja","Placering: Nørrekås Havn - Servicebygning.
Åbningsperiode: hele året.","Bornholm","sites/default/files/images/475/2017/06/badehavnsvej131.jpg"
"390","Ejnar Mikkelsensvej 29, Gudhjem","3760","Gudhjem","55.212293","14.971427","Handicap","Nej","Nej","Nej","Ja","Ja","Placering Gudhjem Havn v/ Christiansøfarten.
Åbningsperiode hele året.
Åbningstider hele døgnet.","Bornholm","sites/default/files/images/475/2017/06/ejnarmikkelsensvej29facade_0.jpgsites/default/files/images/475/2017/06/ejnarmikkelsensvej29handicap_0.jpgsites/default/files/images/475/2017/06/ejnarmikkelsensvej29inde.jpgsites/default/files/images/475/2017/06/ejnarmikkelsensvej29skilt_1.jpg"
"413","Ejnar Mikkelsensvej 7C","3760","Gudhjem","55.214055","14.969293","Handicap","Nej","Nej","Ved ikke","Ja","Ja","Placering: P-plads ved Gudhjem havn.
Åbningsperiode: fra uge 14 til 42.","Bornholm","sites/default/files/images/475/2017/06/ejnarmikkelsensvej7c1.jpg"
"477","Ekkodalsvejen 5B","3720","Åkirkeby","55.109829","14.905634","Handicap","Nej","Nej","Ved ikke","Ja","Ja","Placering: P-plads ved Ekkodalen.
Åbningsperiode: lukket fra 1. nov. -31. april.","Bornholm","sites/default/files/images/475/2017/07/ekkodalsvejen5b3.jpg"
"424","Fyrvejen 2A, Dueodde","3730","Nexø","54.993638","15.077628","Handicap","Nej","Nej","Ved ikke","Ja","Ja","Placering: P-plads ved Fyrvejen på Dueodde.
Åbningsperiode: hele året.","Bornholm","sites/default/files/images/475/2017/06/fyrvejen2adenstorep-plads_0.jpgsites/default/files/images/475/2017/06/fyrvejen2ainde_0.jpg"
"706","Fælledvej 26B","3790","Hasle","55.180079","14.705123","Handicap","Nej","Nej","Nej","Ja","Ja","Placering:Hasle Fælled
National cykelrute 10
Åbningsperiode:  Åbent","Bornholm","sites/default/files/images/475/2020/07/faelledvej.jpg"
