"nid","Street","Postalcode","City","Latitude","Longitude","type","Betaling","Bemanding","Kanylebeholder","Puslebord","Vandhane","Body","Term","Billeder"
"844","E C Hammersvej 3","2791","Dragør","55.594526","12.670826","Handicap","Nej","Nej","Ved ikke","Nej","Ja","","Dragør",""
"808","Færgevej 12","2791","Dragør","55.592398","12.678446","Handicap","Nej","Nej","Ved ikke","Ved ikke","Ja","","Dragør","sites/default/files/images/486/2021/03/1510-wc-skilte-tsn-l1010410-1.jpg"
"811","Gl. Havn 2","2791","Dragør","55.593270","12.677670","Handicap","Nej","Nej","Ved ikke","Ved ikke","Ja","Havnekontoret","Dragør",""
"809","Kalvebodsvej 265","2791","Dragør","55.562431","12.567655","Handicap","Nej","Nej","Ved ikke","Ved ikke","Ja","Ved Kongelundsfortet","Dragør","sites/default/files/images/486/2021/03/1510-wc-skilte-tsn-l1010377-1.jpg"
"858","Nordre Væl","2791","Dragør","55.594558","12.670872","Handicap","Nej","Nej","Ved ikke","Ved ikke","Ja","","Dragør","sites/default/files/images/486/2021/11/toiletnordrevael.jpg"
"806","Prins Knuds Dæmning 1","2791","Dragør","55.589800","12.676057","Handicap","Nej","Nej","Ved ikke","Ved ikke","Ja","","Dragør","sites/default/files/images/486/2021/03/1510-wc-skilte-tsn-l1010408-1.jpg"
"812","Strandlinien 3","2791","Dragør","55.594400","12.675150","Handicap","Nej","Nej","Nej","Ved ikke","Ja","Sejlklubben","Dragør",""
"810","Batterivej 15","2791","Dragør","55.587700","12.672720","Unisex","Nej","Nej","Ja","Ved ikke","Ja","Ved Gabriel Jensen feriekoloni","Dragør",""
"805","Gl. Havn 15","2791","Dragør","55.593436","12.675100","Unisex","Nej","Nej","Ved ikke","Ved ikke","Ja","","Dragør","sites/default/files/images/486/2021/03/glhavn15.jpg"
"807","Søndre Strandvej 50","2791","Dragør","55.581891","12.658076","Unisex","Nej","Nej","Nej","Ved ikke","Ja","Ved Cafe Sylten. Toilettet er åbent når Caféen er åbent.
Åbner 1. april.","Dragør",""
