"nid","Street","Postalcode","City","Latitude","Longitude","type","Betaling","Bemanding","Kanylebeholder","Puslebord","Vandhane","Body","Term","Billeder"
"704","Aksel Møllers Have, ved Metronomen","2000","Frederiksberg","55.686441","12.533168","Handicap","Nej","Nej","Ved ikke","Ved ikke","Ved ikke","Placering: Fritstående toilet.
Åbningstider: Åbent hele døgnet.","Frederiksberg","sites/default/files/images/1/2020/07/frederiksbergtoiletmetronomen.jpg"
"703","Fasanvejen Metro v. P. Andersens Vej","2000","Frederiksberg","55.681818","12.523107","Handicap","Nej","Nej","Ved ikke","Ved ikke","Ved ikke","Placering: Fritstående toilet.
Åbningstider: Åbent hele døgnet.","Frederiksberg","sites/default/files/images/1/2020/07/frederiksbergfasanvejenmetro.jpg"
"701","Frbg. Rådhus, Frederiksberg Bredegade","2000","Frederiksberg","55.677862","12.532472","Handicap","Nej","Nej","Ved ikke","Ved ikke","Ved ikke","Placering: Fritstående toilet.
Åbningstider: Åbent hele døgnet.","Frederiksberg","sites/default/files/images/1/2020/07/frederiksbergtoiletbredegade.jpg"
"705","Frederiksberg Alle 59, Frederiksberg ældre Kirkegård v. Kirken","1820","Frederiksberg","55.674447","12.533389","Handicap","Nej","Nej","Ved ikke","Ved ikke","Ved ikke","Placering: ?
Åbningstider: Begrænsede åbningstider.","Frederiksberg","sites/default/files/images/1/2020/07/frederiksbergtoiletkirkegaard.jpg"
"724","Frederiksberg Metro","2000","Frederiksberg","55.681190","12.531432","Handicap","Nej","Nej","Ved ikke","Ved ikke","Ved ikke","Placering: Fritstående toilet.
Åbningstider: Åbent hele døgnet.","Frederiksberg",""
"709","Lindevangsparken, Finsensvej 39D","2000","Frederiksberg","55.681596","12.512017","Handicap","Nej","Nej","Ved ikke","Ved ikke","Ved ikke","Placering: ?
Åbningstider: Begrænsede åbningstider.","Frederiksberg","sites/default/files/images/1/2020/07/frederiksbergtoiletlindevangsparken.jpg"
"727","Rosenørns Alle","1970","Frederiksberg","55.681572","12.553555","Handicap","Nej","Nej","Ved ikke","Ved ikke","Ved ikke","Placering: Julius Thomsens Plads.
Åbningstider: Åbent hele døgnet.","Frederiksberg","sites/default/files/images/1/2020/07/rosenoernsalle.jpg"
"743","Roskildevej 54, Solbjerg Parkkirkegård","2000","Frederiksberg","55.672969","12.509677","Handicap","Nej","Nej","Ved ikke","Ved ikke","Ved ikke","Placering: ?
Åbningstider: Begrænsede åbningstider.","Frederiksberg","sites/default/files/images/1/2020/07/solbjergparkkirkegaard.jpg"
"744","Roskildevej 59, Søndermark Kirkegård, v. krematorium","2000","Frederiksberg","55.670944","12.509640","Handicap","Nej","Nej","Ved ikke","Ved ikke","Ved ikke","Placering: ?
Åbningstider: Begrænsede åbningstider.","Frederiksberg","sites/default/files/images/1/2020/07/roskildevej59.jpg"
"702","V_Frederiksberg Allé 69","1820","Frederiksberg","55.674534","12.533364","Handicap","Nej","Nej","Ved ikke","Ved ikke","Ved ikke","Placering: Fritstående toilet.
Åbningstider: Åbent hele døgnet.","Frederiksberg","sites/default/files/images/1/2020/07/frederiksbergtoiletfrederiksbergalle.jpg"
"742","200m fra Cisternerne i Søndermarken","2000","Frederiksberg","55.668363","12.522665","Unisex","Nej","Nej","Ved ikke","Ved ikke","Ved ikke","Placering: ?
Åbningstider: Begrænsede åbningstider.","Frederiksberg","sites/default/files/images/1/2020/07/200mfracisternerne.jpg"
"729","Auditorium Frederiksberg Slot","2000","Frederiksberg","55.671889","12.525701","Unisex","Nej","Nej","Ved ikke","Ved ikke","Ved ikke","Placering: ?
Åbningstider: Begrænsede åbningstider.","Frederiksberg",""
"730","Biblioteket, Danasvej 30B","1910","Frederiksberg","55.679476","12.550796","Unisex","Nej","Nej","Ved ikke","Ved ikke","Ved ikke","Placering: ?
Åbningstider: Begrænsede åbningstider.","Frederiksberg","sites/default/files/images/1/2020/07/danasvej30b.jpg"
"731","Biblioteket, Nordens Plads 10 Domus Vista","2000","Frederiksberg","55.671195","12.501275","Unisex","Nej","Nej","Ved ikke","Ved ikke","Ved ikke","Placering: ?
Åbningstider: Begrænsede åbningstider.","Frederiksberg","sites/default/files/images/1/2020/07/nordensplads10.jpg"
"732","Bülowshallen, Bülowsvej 34","2000","Frederiksberg","55.682299","12.545167","Unisex","Nej","Nej","Ved ikke","Ved ikke","Ved ikke","Placering: ?
Åbningstider: Begrænsede åbningstider.","Frederiksberg","sites/default/files/images/1/2020/07/bulovshallen.jpg"
"733","Den gule Villa, Dirch Passers Allé 2","2000","Frederiksberg","55.682465","12.505652","Unisex","Nej","Nej","Ved ikke","Ved ikke","Ved ikke","Placering: ?
Åbningstider: Begrænsede åbningstider.","Frederiksberg","sites/default/files/images/1/2020/07/dengulevilla.jpg"
"734","Frederiksberg Centret","2000","Frederiksberg","55.681349","12.533822","Unisex","Nej","Nej","Ved ikke","Ved ikke","Ved ikke","Placering: ?
Åbningstider: Begrænsede åbningstider.","Frederiksberg",""
"735","Frederiksberg Hallerne, Jens Jessens Vej","2000","Frederiksberg","55.676005","12.497521","Unisex","Nej","Nej","Ved ikke","Ved ikke","Ved ikke","Placering: ?
Åbningstider: Begrænsede åbningstider.","Frederiksberg","sites/default/files/images/1/2020/07/frederiksberghallerne.jpg"
"736","Frederiksberg Runddel 1","2000","Frederiksberg","55.674617","12.531258","Unisex","Nej","Nej","Ved ikke","Ved ikke","Ved ikke","Placering: ?
Åbningstider: Begrænsede åbningstider.","Frederiksberg","sites/default/files/images/1/2020/07/frederiksbergrunddel1.jpg"
