"nid","Street","Postalcode","City","Latitude","Longitude","type","Betaling","Bemanding","Kanylebeholder","Puslebord","Vandhane","Body","Term","Billeder"
"762","Bellevue Strand - Midt, Strandvejen 340","2930","Klampenborg","55.778203","12.591570","Handicap","Nej","Nej","Nej","Nej","Ja","Placering: I bygning syd for Strandvejen 340
Åbningstider: 7-21","Gentofte","sites/default/files/images/1/2020/12/gentofte-strandvejen340.jpg"
"777","Byens Hus, Hellerupvej 24","2900","Hellerup","55.732344","12.570634","Handicap","Nej","Nej","Nej","Nej","Ja","Placering: I bygning (ved hovedindgang i nr. 24)
Åbningstider: 7-22 (man-fre)","Gentofte","sites/default/files/images/1/2021/01/gentofte-hellerupvej24.jpg"
"761","Charlottenlund Fort - Midt, Strandvejen 144","2920","Charlottenlund","55.746532","12.588719","Handicap","Nej","Nej","Nej","Ja","Ja","Placering: I bygning øst for vandgrav
Åbningstider: 7-21 Sommersæson: juni, juli og august","Gentofte","sites/default/files/images/1/2020/12/gentofte-strandvejen144-3.jpg"
"767","Charlottenlund Fort - Syd, Strandvejen 144","2920","Charlottenlund","55.743982","12.586283","Handicap","Nej","Nej","Nej","Nej","Ja","Placering: I bygning øst for Strandvejen 144
Åbningstider: 7-21 Hele året","Gentofte","sites/default/files/images/1/2021/01/gentofte-strandvejen144-2.jpg"
"772","Dyssegård Bibliotek, Dyssegårdsvej 24","2870","Dyssegård","55.732253","12.538861","Handicap","Nej","Nej","Nej","Ja","Ja","Placering: I biblioteksbygning
Åbningstider: 6-24","Gentofte","sites/default/files/images/1/2021/01/gentofte-dyssegaardsvej24.jpg"
"778","Gentofte Hovedbibliotek, Ahlmanns Allé 6","2900","Hellerup","55.737691","12.573543","Handicap","Nej","Nej","Nej","Ja","Ja","Placering: I biblioteksbygning
Åbningstider: 9-20 (man-fre) og 10-16 (lør-søn)","Gentofte","sites/default/files/images/1/2021/01/gentofte-ahlmannsalle6.jpg"
"765","Gentofte Kirkegård, Gentoftegade 21","2820","Gentofte","55.749728","12.542079","Handicap","Nej","Nej","Nej","Nej","Ja","Placering: I bygning sydøst for kirke
Åbningstider: Hele døgnet","Gentofte","sites/default/files/images/1/2020/12/gentofte-gentoftegade21_1.jpg"
"755","Gentofte Sø, Fiskebakken 7","2820","Gentofte","55.745928","12.538560","Handicap","Nej","Nej","Ja","Nej","Ja","Placering: I bygning øst for søbred
Åbningstider: 7-22","Gentofte","sites/default/files/images/1/2020/12/gentofte-fiskebakken7.jpg"
"766","Hellerup Kirkegård, C.V.E. Knuths Vej 5","2900","Hellerup","55.731488","12.559536","Handicap","Nej","Nej","Nej","Nej","Ja","Placering: I sydlig del af tidligere kapel
Åbningstider: Hele døgnet","Gentofte","sites/default/files/images/1/2021/01/gentofte-cveknuthsvej5.jpg"
"774","Jægersborg Bibliotek, Smakkegårdsvej 112","2820","Gentofte","55.761573","12.526808","Handicap","Nej","Nej","Nej","Ja","Ja","Placering: I biblioteksbygning
Åbningstider: 6-24","Gentofte","sites/default/files/images/1/2021/01/gentofte-smakkegaardsvej112.jpg"
