"nid","Street","Postalcode","City","Latitude","Longitude","type","Betaling","Bemanding","Kanylebeholder","Puslebord","Vandhane","Body","Term","Billeder"
"964","Allegade 2","3000","Helsingør","56.038386","12.615502","Handicap","Nej","Nej","Ja","Ja","Ja","Placering: gå til højre ved indgangen toiletter findes nede i kælderen.
Mandag      08:00 — 19:00
Tirsdag      08:00 — 19:00
Onsdag      08:00 — 19:00
Torsdag     08:00 — 19:00
Fredag	 08:00 — 19:00
Lørdag	10:00 — 17:00
Søndag	11:00 — 17:00","Helsingør","sites/default/files/images/490/2023/03/helsingorkulturvaerft.jpeg"
"958","Havnepladsen 1","3000","Helsingør","56.033914","12.614258","Handicap","Nej","Nej","Ja","Ja","Ja","","Helsingør","sites/default/files/images/490/2023/03/toldkammerethelsingor.jpg"
"963","Havnevej 24C","3100","Hornbæk","56.092806","12.457399","Handicap","Nej","Nej","Nej","Nej","Ja","Toiletterne findes bag kiosken.
Åbningstider: 07-22:00","Helsingør","sites/default/files/images/490/2023/03/toilethornbaekhavnevej24c.jpg"
"961","Kystvej 24","3100","Hornbæk","56.091880","12.447428","Handicap","Nej","Nej","Ja","Nej","Ja","Toilettet er lukket i perioden fra 16. september til 30. april
Åbningstider: 24/7","Helsingør","sites/default/files/images/490/2023/03/toilethornbaekvedkystvej.png"
"960","Nordre strandvej 148A","3140","Ålsgårde","56.075906","12.546931","Handicap","Nej","Nej","Nej","Nej","Ja","Åbningstider: 07-22:00","Helsingør","sites/default/files/images/490/2023/03/toiletalsgardelangebro.png"
"962","Nordre Strandvej 300","3100","Hornbæk","56.092299","12.463954","Handicap","Nej","Nej","Ja","Nej","Ja","Toilettet er Lukket i perioden 16. september til 30. april
Åbningstider: 24/7","Helsingør","sites/default/files/images/490/2023/03/toilethornbaekstrand.png"
"959","Stjernegade 21","3000","Helsingør","56.035683","12.609783","Handicap","Nej","Nej","Ja","Nej","Ja","Åbningstider: 07:00-22:00","Helsingør","sites/default/files/images/490/2023/03/helsingorstjernegade.jpg"
"956","Strandpromenaden 8","3000","Helsingør","56.041329","12.611687","Handicap","Nej","Nej","Nej","Nej","Ja","Åbningstider: 07-22:00","Helsingør","sites/default/files/images/490/2023/03/nordhavnhelsingor.png"
"953","Gammel Strandvej 215D","3060","Espergærde","55.980492","12.549627","Unisex","Nej","Nej","Nej","Ja","Ja","Toilettet er lukket i perioden 16. september til 30. april. normale åbningstider er fra 7:00-22:00","Helsingør","sites/default/files/images/490/2023/03/jarlensgrund.png"
"954","Strandvejen 167","3060","Espergærde","55.991903","12.560657","Unisex","Nej","Nej","Nej","Nej","Ja","Toilettet er åbent perioden 1. maj til 14. september. det er åbent fra 7:00-22:00","Helsingør","sites/default/files/images/490/2023/03/espergaerdestrandtoilet.png"
"957","Strandvejen 71E","3070","Snekkersten","56.008280","12.587236","Unisex","Nej","Nej","Nej","Nej","Ja","Toilettet er lukket i perioden 16. september til 30. april.
Åbningstider: 24/7","Helsingør","sites/default/files/images/490/2023/03/snekkerstenhavn.jpg"
"955","Strandvejen 89x","3070","Snekkersten","56.004348","12.577854","Unisex","Nej","Nej","Nej","Nej","Ja","toilettet er lukket i perioden fra 16. september til 30. april
Åbningstider: 24/7","Helsingør","sites/default/files/images/490/2023/03/toiletvedskotterupsnekkersten.png"
