"nid","Street","Postalcode","City","Latitude","Longitude","type","Betaling","Bemanding","Kanylebeholder","Puslebord","Vandhane","Body","Term","Billeder"
"1064","Vester Søgade 2A","1601","København V","55.674774","12.559012","ChangingPlace","Nej","Nej","Ved ikke","Ja","Ja","Placering: På Vester Søgade lige overfor Planetariet ligger en toiletbygning, som indeholder er særligt handicaptoilet forbeholdt borgere med bevægelseshandicap. Toilettet henstår aflåst, og man skal være i besiddelse af en Europa-nøgle for at kunne låse døren op. Har man ikke en nøgle kan man ansøge om en nøgle ved at henvende sig til Danske Handicaporganisationer, Brugerservice, som administrerer Europanøglen i Danmark. 
Toilettet er opvarmet og indeholder toilet- og brusefaciliteter. Det er indrettet med heldækkende loftslift til personflytning (man skal selv medbringe sejl, sele o.l.), højdejusterbar omklædnings/bruseleje og ligeledes højdejusterbar håndvask og toilet. Toilettet har egen indgang og er et unisex toilet. 
Åbningstider: Døgnåbent. Helårsåbent.
Fotos er leveret af https://godadgang.dk/faktaark/toilet-paa-vester-soegade-17372, hvor der også findes yderligere oplysninger.","København","sites/default/files/images/3/2025/03/vester-soegade2a-1.jpgsites/default/files/images/3/2025/03/vester-soegade2a-2.jpgsites/default/files/images/3/2025/03/vester-soegade2a-3.jpgsites/default/files/images/3/2025/03/vester-soegade2a-4.jpgsites/default/files/images/3/2025/03/vester-soegade2a-5.jpgsites/default/files/images/3/2025/03/vester-soegade2a-6.jpg"
"183","Amager Strandvej 11","2300","København S","55.666373","12.632197","Handicap","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Placering: Park, Amager Strand, Søstjernen
Åbningstider:
Åbent fra 1. april til 30. september
Ca. 9.00 til 21:00
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2014/04/amager-strandvej11.jpg"
"359","Absalonsgade 12","1658","København V","55.670445","12.554053","Handicap","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Placering: Bemandet legeplads Skydebanehaven
Åbningstider:
mandag: Ca. 9.00 - 21.00 (19.00 om vinteren)
tirsdag: Ca. 9.00 - 21.00 (19.00 om vinteren)
onsdag: Ca. 9.00 - 21.00 (19.00 om vinteren)
torsdag: Ca. 9.00 - 21.00 (19.00 om vinteren)
fredag: Ca. 9.00 - 21.00 (19.00 om vinteren)
loerdag: Ca. 9.00 - 21.00 (19.00 om vinteren)
soendag: Ca. 9.00 - 21.00 (19.00 om vinteren)
doegnaabent: Nej
bemaerkning: Sommersæson (maj til september) mandag-fredag kl. 9-18 og om lørdagen 10-17. I vintersæsonen (oktober-april) mandag til fredag kl. 9-17.
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2016/05/absalonsgade12.jpg"
"339","Amager Strand Promenaden 255","2300","København S","55.654530","12.649340","Handicap","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Placering: Amager Strandpark, Strandpromenaden nord
Åbningstider:
helaarsaabent: Ja
doegnaabent: Nej
Højsæson: 1. maj til 30. sep. Kl 8.00 til 22.00 alle ugens dage. Fra 1. juni til 31 august kl. 8.00 til 24.00 fredag, lørdag og søndag. Lavsæson: 1. okt til 30. april. Kl. 8.00 til 18.00 alle dage. Her er kun handicaptoilettet åbent. Handicaptoilet er helårsåbent.
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2016/05/amager-strand-promenaden255.jpg"
"182","Amager Strandvej 244","2300","København S","55.648955","12.638736","Handicap","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Placering: Park, Amager Strandvej, Kastrup Fort
Åbningstider:
Åbent fra 1. april til 30. september
9.00 til 21:00 (19.00 om vinteren)
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2014/04/amager-strandvej244.jpg"
"62","Amagerbrogade 185","2300","København S","55.651841","12.612123","Handicap","Nej","Nej","Ja","Ja","Ja","Placering: Gade, Sundbyøster Plads
Åbningstider:
Helårsåbent: ja
Døgnåbent: Ja
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2011/03/amagerbrogade185.jpg"
"198","Baldersgade 60","2200","København N","55.701310","12.548328","Handicap","Nej","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Placering: Gade, Balders Plads
Åbningstider:
Åbent fra 1. april til 30. september
Ca. 9.00 til 21:00
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2014/04/baldersgade60.jpg"
"209","Bispebjerg Bakke 12","2400","København NV","55.709717","12.542855","Handicap","Nej","Nej","Ved ikke","Ved ikke","Ved ikke","Placering: Park, Lersøparken
Åbningstider:
Åbent fra 1. april til 30. september
Ca. 9.00 til 21:00
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2014/04/bispebjerg-bakke12.jpg"
"384","Blågårds Plads 11","2200","København N","55.686436","12.556422","Handicap","Nej","Nej","Ved ikke","Ved ikke","Ja","Placering: Gade, Blågårds Plads
Åbningstider:
Helårsåbent: ja
Døgnåbent: Ja
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2016/07/blaagaards-plads11.jpg"
"298","Borgergade 1F","1300","København K","55.682099","12.583712","Handicap","Nej","Nej","Ja","Ja","Ja","Placering: Gade, Borgergade
Åbningstider:
Helårsåbent: ja
Døgnåbent: Ja
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2016/02/borgergade1f.jpgsites/default/files/images/1/2016/02/streetviewborgergade1f.jpgsites/default/files/images/1/2016/02/borgergade1ny.jpgsites/default/files/images/1/2016/02/borgergade2ny.jpgsites/default/files/images/1/2016/02/borgergade3.jpg"
"345","Brønshøj Kirkevej 8","2700","Brønshøj","55.705752","12.498597","Handicap","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Placering: Brønshøj Kirkegård https://www.kk.dk/artikel/br%C3%B8nsh%C3%B8j-kirkeg%C3%A5rd-en-landsbyki...
Åbningstider:
mandag: 7.00 - 22.00 / 7.00 - 19.00
tirsdag: 7.00 - 22.00 / 7.00 - 19.00
onsdag: 7.00 - 22.00 / 7.00 - 19.00
torsdag: 7.00 - 22.00 / 7.00 - 19.00
fredag: 7.00 - 22.00 / 7.00 - 19.00
loerdag: 7.00 - 22.00 / 7.00 - 19.00
soendag: 7.00 - 22.00 / 7.00 - 19.00
doegnaabent: Nej
bemaerkning: Vinterhalvåret (oktober-marts) 07:00-19:00 Sommerhalvåret (april-september) 07:00-22:00
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2016/05/broenshoej-kirkevej8.jpg"
"174","Christianshavns Voldgade 36","1424","København K","55.670008","12.592640","Handicap","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Placering: Bemandet legeplads Christianshavns Vold, Elefantens bastion
Åbningstider:
mandag: Ca. 9.00 - 21.00 (19.00 om vinteren)
tirsdag: Ca. 9.00 - 21.00 (19.00 om vinteren)
onsdag: Ca. 9.00 - 21.00 (19.00 om vinteren)
torsdag: Ca. 9.00 - 21.00 (19.00 om vinteren)
fredag: Ca. 9.00 - 21.00 (19.00 om vinteren)
loerdag: Ca. 9.00 - 21.00 (19.00 om vinteren)
soendag: Ca. 9.00 - 21.00 (19.00 om vinteren)
doegnaabent: Nej
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2014/04/christianshavns-voldgade362.jpg"
"677","Christianshavns Voldgade 36","1424","København K","55.669983","12.592711","Handicap","Nej","Ved ikke","Ved ikke","Ved ikke","Ved ikke","Placering: Park, Christianshavns Vold, Elefantens bastion
Åbningstider:
mandag: Ca. 9.00 - 21.00 (19.00 om vinteren)
tirsdag: Ca. 9.00 - 21.00 (19.00 om vinteren)
onsdag: Ca. 9.00 - 21.00 (19.00 om vinteren)
torsdag: Ca. 9.00 - 21.00 (19.00 om vinteren)
fredag: Ca. 9.00 - 21.00 (19.00 om vinteren)
loerdag: Ca. 9.00 - 21.00 (19.00 om vinteren)
soendag: Ca. 9.00 - 21.00 (19.00 om vinteren)
doegnaabent: Nej
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/1/2019/08/christianshavns-voldgade36.jpg"
"168","Damhusdæmningen 2a","2720","Vanløse","55.681570","12.473101","Handicap","Nej","Nej","Ved ikke","Ved ikke","Ved ikke","Placering: Park, Damhusdæmningen, v. kiosk
Åbningstider:
Åbent fra 1. april til 30. september
9.00 til 21:00 (19.00 om vinteren)
Ændrede åbningstider Jul, Nytår, Corona m.m.: https://www.kk.dk/toiletter/","København","sites/default/files/images/3/2014/04/damhusdaemningen2a.jpg"
