"nid","Street","Postalcode","City","Latitude","Longitude","type","Betaling","Bemanding","Kanylebeholder","Puslebord","Vandhane","Body","Term","Billeder"
"563","Bombegrunden, Taarbæk Strandvej 40","2930","Klampenborg","55.782610","12.592510","Handicap","Ja","Nej","Nej","Ja","Ja"," Sæsonåbent 
1. april - 30. september.","Lyngby-Taarbæk","sites/default/files/images/478/2018/04/bombegrundentaarbaek.jpgsites/default/files/images/478/2018/04/bombegrundentaarbaekinde.jpgsites/default/files/images/478/2018/04/bombegrundentaarbaekpusleplads.jpg"
"561","Den Gamle Have, Nybrovej 461","2800","Kgs. Lyngby","55.780090","12.444710","Handicap","Nej","Nej","Nej","Nej","Ja","Herretoilet.
Dametoilet.
Handicapvenlig indretning på dametoilettet.
 Sæsonåbent 
1. april - 30. september.","Lyngby-Taarbæk","sites/default/files/images/478/2018/04/dengamlehavefrederiksdal.jpgsites/default/files/images/478/2018/04/dengamlehavefrederiksdalinde.jpg"
"693","Dyrehaven, Ermelundsvej ved Fortunen","2800","Kgs. Lyngby","55.775289","12.544850","Handicap","Nej","Nej","Nej","Nej","Ja","Toilet er IKKE kommunens ansvar
Placering: Inden for den Røde Port i Dyrehaven og så til højre.
Åbningstider: Åbent hele året.","Lyngby-Taarbæk","sites/default/files/images/1/2020/07/fortunen2.jpgsites/default/files/images/1/2020/07/fortunen1.jpgsites/default/files/images/1/2020/07/fortunen5.jpg"
"696","Dyrehaven, Nordre Eremitagevej","2800","Kgs. Lyngby","55.795707","12.571752","Handicap","Nej","Nej","Nej","Nej","Ja","Toilet er IKKE kommunens ansvar
Placering: Lige ved siden af Eremitageslottet.
Åbningstider: Åbent hele året.","Lyngby-Taarbæk","sites/default/files/images/1/2020/07/eremitagen0.jpgsites/default/files/images/1/2020/07/eremitagen2.jpgsites/default/files/images/1/2020/07/eremitagen4.jpg"
"694","Dyrehaven, Strandvejen 817, Springforbi","2960","Klampenborg","55.801472","12.584583","Handicap","Nej","Nej","Nej","Nej","Ja","Toilet er IKKE kommunens ansvar
Placering: Springforbivej.
Åbningstider: Åbent hele året.","Lyngby-Taarbæk","sites/default/files/images/1/2020/07/springforbi1.jpgsites/default/files/images/1/2020/07/springforbi2.jpgsites/default/files/images/1/2020/07/springforbi3.jpgsites/default/files/images/1/2020/07/springforbi4.jpg"
"695","Dyrehaven, Ved Hjortekæret 12","2800","Kgs. Lyngby","55.800086","12.544867","Handicap","Nej","Nej","Nej","Nej","Ja","Toilet er IKKE kommunens ansvar
Placering: ?.
Åbningstider: Sommeråbent maj - november.","Lyngby-Taarbæk","sites/default/files/images/1/2020/07/hjortekaer12.jpgsites/default/files/images/1/2020/07/hjortekaer2.jpgsites/default/files/images/1/2020/07/hjortekaer3.jpg"
"562","Frederiksdal Fribad, Frederiksdal Badesti","2830","Virum","55.785220","12.444250","Handicap","Nej","Nej","Nej","Ja","Ja","Toilet er IKKE kommunens ansvar
Handicaptoilet med pusleplads.
Herre- og dametoiletter.
Herre og dame brusekabiner.
 Sæsonåbent 
1. april - 31. oktober.","Lyngby-Taarbæk","sites/default/files/images/478/2018/04/frederiksdalfribad.jpgsites/default/files/images/478/2018/04/frederiksdalfribadinde.jpgsites/default/files/images/478/2018/04/frederiksdalfribadvaske.jpg"
"558","Fuglevad Station, Skovbrynet 100","2800","Kgs. Lyngby","55.784560","12.496960","Handicap","Nej","Nej","Ja","Ja","Ja"," Sæsonåbent 1. april til 30. september.","Lyngby-Taarbæk","sites/default/files/images/478/2018/04/fuglevadstation.jpgsites/default/files/images/478/2018/04/fuglevadstationinde.jpgsites/default/files/images/478/2018/04/fuglevadstationpusleplads.jpgsites/default/files/images/478/2018/04/fuglevadstationkanylebeholder.jpg"
"700","Klampenborg station, Dyrehavevej 1","2930","Klampenborg","55.777491","12.587457","Handicap","Ja","Nej","Ja","Ja","Ja","Toilet er IKKE kommunens ansvar
Placering: ?.
Åbningstider: 6:00-22:00.
Betaling: 5 kr. som betales med kort.
Tjek: https://www.dsb.dk/trafikinformation/stationer/klampenborg/","Lyngby-Taarbæk","sites/default/files/images/1/2020/07/klampenborgstation1.jpg"
"550","Lyngby Hovedgade 28","2800","Kgs. Lyngby","55.773320","12.498980","Handicap","Nej","Nej","Nej","Ja","Ja","Almindeligt og handicaptoilet.
Pusleplads.
Åbningstider:
Mandag-fredag: 8.00-20.00
Lørdag-søndag: 11.00-16.00","Lyngby-Taarbæk","sites/default/files/images/478/2017/10/bibimg06402000x1500.jpgsites/default/files/images/478/2017/10/bibimg06412000x1500.jpgsites/default/files/images/478/2017/10/bibimg06432000x1500.jpgsites/default/files/images/478/2017/10/bibimg06442000x1500.jpgsites/default/files/images/478/2017/10/bibimg06452000x1500.jpg"
