"nid","Street","Postalcode","City","Latitude","Longitude","type","Betaling","Bemanding","Kanylebeholder","Puslebord","Vandhane","Body","Term","Billeder"
"1071","Egholmvej 19","2665","Vallensbæk Strand","55.620933","12.389692","Handicap","Nej","Nej","Nej","Nej","Ja","","Vallensbæk",""
"1070","Horsbred 197","2625","Vallensbæk","55.650566","12.359040","Handicap","Nej","Nej","Nej","Nej","Ja","","Vallensbæk",""
"1074","Højrupgårdsvej 1","2625","Vallensbæk","55.635456","12.367175","Handicap","Nej","Nej","Nej","Nej","Ja","","Vallensbæk",""
"1067","idræts alle 2","2625","Vallensbæk","55.629609","12.372302","Handicap","Nej","Nej","Nej","Ja","Ja","","Vallensbæk",""
"1072","Idræts alle 5","2625","Vallensbæk","55.632575","12.369790","Handicap","Nej","Nej","Nej","Nej","Ja","","Vallensbæk",""
"1075","Tværbækvej 1","2625","Vallensbæk","55.647658","12.358788","Handicap","Nej","Nej","Nej","Nej","Ja","","Vallensbæk",""
"1069","Vallensbæk Havnevej","2665","Vallensbæk Strand","55.612530","12.397574","Handicap","Nej","Nej","Nej","Ja","Ja","","Vallensbæk",""
"1068","Vallensbæk Havnevej 20","2665","Vallensbæk Strand","55.612180","12.398436","Handicap","Nej","Nej","Nej","Nej","Ja","","Vallensbæk",""
"1076","Vallensbæk Stationstorv 100","2665","Vallensbæk Strand","55.624123","12.386713","Handicap","Nej","Nej","Nej","Ja","Ja","","Vallensbæk",""
"1073","Vejlegårdsvej 121","2625","Vallensbæk","55.637841","12.358455","Handicap","Nej","Nej","Nej","Nej","Ja","","Vallensbæk",""
"1066","Vejlegårdsvej 123","2625","Vallensbæk","55.638304","12.356781","Handicap","Nej","Nej","Nej","Nej","Ja","","Vallensbæk",""
