id,name,city,postalcode,lat,lon,type,accessible,payment,changing_table,water,description,municipality,source
1071,Egholmvej 19,Vallensbæk Strand,2665.0,55.620933,12.389692,Handicap,1,Nej,Nej,Ja,,Vallensbæk,FindToilet
1070,Horsbred 197,Vallensbæk,2625.0,55.650566,12.35904,Handicap,1,Nej,Nej,Ja,,Vallensbæk,FindToilet
1074,Højrupgårdsvej 1,Vallensbæk,2625.0,55.635456,12.367175,Handicap,1,Nej,Nej,Ja,,Vallensbæk,FindToilet
1067,idræts alle 2,Vallensbæk,2625.0,55.629609,12.372302,Handicap,1,Nej,Ja,Ja,,Vallensbæk,FindToilet
1072,Idræts alle 5,Vallensbæk,2625.0,55.632575,12.36979,Handicap,1,Nej,Nej,Ja,,Vallensbæk,FindToilet
1075,Tværbækvej 1,Vallensbæk,2625.0,55.647658,12.358788,Handicap,1,Nej,Nej,Ja,,Vallensbæk,FindToilet
1069,Vallensbæk Havnevej,Vallensbæk Strand,2665.0,55.61253,12.397574,Handicap,1,Nej,Ja,Ja,,Vallensbæk,FindToilet
1068,Vallensbæk Havnevej 20,Vallensbæk Strand,2665.0,55.61218,12.398436,Handicap,1,Nej,Nej,Ja,,Vallensbæk,FindToilet
1076,Vallensbæk Stationstorv 100,Vallensbæk Strand,2665.0,55.624123,12.386713,Handicap,1,Nej,Ja,Ja,,Vallensbæk,FindToilet
1073,Vejlegårdsvej 121,Vallensbæk,2625.0,55.637841,12.358455,Handicap,1,Nej,Nej,Ja,,Vallensbæk,FindToilet
1066,Vejlegårdsvej 123,Vallensbæk,2625.0,55.638304,12.356781,Handicap,1,Nej,Nej,Ja,,Vallensbæk,FindToilet
844,E C Hammersvej 3,Dragør,2791.0,55.594526,12.670826,Handicap,1,Nej,Nej,Ja,,Dragør,FindToilet
808,Færgevej 12,Dragør,2791.0,55.592398,12.678446,Handicap,1,Nej,Ved ikke,Ja,,Dragør,FindToilet
811,Gl. Havn 2,Dragør,2791.0,55.59327,12.67767,Handicap,1,Nej,Ved ikke,Ja,Havnekontoret,Dragør,FindToilet
809,Kalvebodsvej 265,Dragør,2791.0,55.562431,12.567655,Handicap,1,Nej,Ved ikke,Ja,Ved Kongelundsfortet,Dragør,FindToilet
858,Nordre Væl,Dragør,2791.0,55.594558,12.670872,Handicap,1,Nej,Ved ikke,Ja,,Dragør,FindToilet
806,Prins Knuds Dæmning 1,Dragør,2791.0,55.5898,12.676057,Handicap,1,Nej,Ved ikke,Ja,,Dragør,FindToilet
812,Strandlinien 3,Dragør,2791.0,55.5944,12.67515,Handicap,1,Nej,Ved ikke,Ja,Sejlklubben,Dragør,FindToilet
810,Batterivej 15,Dragør,2791.0,55.5877,12.67272,Unisex,0,Nej,Ved ikke,Ja,Ved Gabriel Jensen feriekoloni,Dragør,FindToilet
805,Gl. Havn 15,Dragør,2791.0,55.593436,12.6751,Unisex,0,Nej,Ved ikke,Ja,,Dragør,FindToilet
807,Søndre Strandvej 50,Dragør,2791.0,55.581891,12.658076,Unisex,0,Nej,Ved ikke,Ja,"Ved Cafe Sylten. Toilettet er åbent når Caféen er åbent.
Åbner 1. april.",Dragør,FindToilet
795,"Hillerød bibliotek, Christiansgade 1",Hillerød,3400.0,55.927552,12.297714,Handicap,1,Nej,Ja,Ja,"Placering: I bibliotekets vandrehal
Åbningstider: man-tors 10-18, fre-lør 10-14, søndag lukket
Ansvarlig: teknisk serviceleder på biblioteket tlf: 72325800
1 dame, 2 unisex, 2 handicap",Hillerød,FindToilet
803,"P-hus øst, Østergade 3",Hillerød,3400.0,55.929916,12.304931,Handicap,1,Nej,Nej,Ja,"Placering: ?
Åbningstider: ?
Meget ulækkert
Toilet er IKKE kommunens ansvar",Hillerød,FindToilet
799,"Posen, Slotsgade 40",Hillerød,3400.0,55.931532,12.300251,Handicap,1,Nej,Nej,Ja,"Placering: ?
Åbningstider: 7 -22
1 dame, 1 herre, 1 handicap",Hillerød,FindToilet
801,"Skansekirkegård, Skansevej 113",Hillerød,3400.0,55.935469,12.333538,Handicap,1,Nej,Nej,Ja,"Placering: Hvid bygning overfor p-plads, nedgang af brostensrampe eller trappe
Åbningstider: man-torsdag 7-14.30, fredag 7-12, lør- og søndag lukket
1 handicaptoilet",Hillerød,FindToilet
797,Slotsarkaderne ved P-hus nord,Hillerød,3400.0,55.929885,12.29901,Handicap,1,Nej,Ja,Ja,"Placering: Slotsarkaderne ved Humac Frederiks Torv 
Åbningstider: 6-24
1 dame, 1 herre, 1 handicap
Toilet er IKKE kommunens ansvar",Hillerød,FindToilet
796,Slotsarkaderne ved P-hus syd,Hillerød,3400.0,55.928201,12.297378,Handicap,1,Nej,Ja,Ja,"Placering: Ved udgang fra arkaderne mod P-hus syd
Åbningstider: 6-24
Ansvarlig: Vagtpersonale, telefonnr. 28 18 46 46
1 dame, 1 herre, 1 handicap
Toilet er IKKE kommunens ansvar",Hillerød,FindToilet
800,Torvet,Hillerød,3400.0,55.929335,12.302841,Handicap,1,Nej,Nej,Ja,"Placering: Mobil toiletvogn
Åbningstider: 7 -22
Ansvarlig: Rådighedsvagten Hillerød kommune 72328765
Unisex + handicap i ét",Hillerød,FindToilet
804,"Hillerød Kirkegård, Østergade 10",Hillerød,3400.0,55.929489,12.305935,Unisex,0,Nej,Nej,Ja,"Placering: ?
Åbningstider: 7-16 i hverdage, lukket i weekender.
1 herre 1 dame",Hillerød,FindToilet
802,"Nyhuse Kapel, Kapelvej",Hillerød,3400.0,55.936681,12.287592,Unisex,0,Nej,Nej,Ja,"Placering: Bagsiden af kapel
Åbningstider: Hverdage 7-14.30, lør- og søndag lukket
1 dame, 1 herre",Hillerød,FindToilet
762,"Bellevue Strand - Midt, Strandvejen 340",Klampenborg,2930.0,55.778203,12.59157,Handicap,1,Nej,Nej,Ja,"Placering: I bygning syd for Strandvejen 340
Åbningstider: 7-21",Gentofte,FindToilet
777,"Byens Hus, Hellerupvej 24",Hellerup,2900.0,55.732344,12.570634,Handicap,1,Nej,Nej,Ja,"Placering: I bygning (ved hovedindgang i nr. 24)
Åbningstider: 7-22 (man-fre)",Gentofte,FindToilet
761,"Charlottenlund Fort - Midt, Strandvejen 144",Charlottenlund,2920.0,55.746532,12.588719,Handicap,1,Nej,Ja,Ja,"Placering: I bygning øst for vandgrav
Åbningstider: 7-21 Sommersæson: juni, juli og august",Gentofte,FindToilet
767,"Charlottenlund Fort - Syd, Strandvejen 144",Charlottenlund,2920.0,55.743982,12.586283,Handicap,1,Nej,Nej,Ja,"Placering: I bygning øst for Strandvejen 144
Åbningstider: 7-21 Hele året",Gentofte,FindToilet
772,"Dyssegård Bibliotek, Dyssegårdsvej 24",Dyssegård,2870.0,55.732253,12.538861,Handicap,1,Nej,Ja,Ja,"Placering: I biblioteksbygning
Åbningstider: 6-24",Gentofte,FindToilet
778,"Gentofte Hovedbibliotek, Ahlmanns Allé 6",Hellerup,2900.0,55.737691,12.573543,Handicap,1,Nej,Ja,Ja,"Placering: I biblioteksbygning
Åbningstider: 9-20 (man-fre) og 10-16 (lør-søn)",Gentofte,FindToilet
765,"Gentofte Kirkegård, Gentoftegade 21",Gentofte,2820.0,55.749728,12.542079,Handicap,1,Nej,Nej,Ja,"Placering: I bygning sydøst for kirke
Åbningstider: Hele døgnet",Gentofte,FindToilet
755,"Gentofte Sø, Fiskebakken 7",Gentofte,2820.0,55.745928,12.53856,Handicap,1,Nej,Nej,Ja,"Placering: I bygning øst for søbred
Åbningstider: 7-22",Gentofte,FindToilet
766,"Hellerup Kirkegård, C.V.E. Knuths Vej 5",Hellerup,2900.0,55.731488,12.559536,Handicap,1,Nej,Nej,Ja,"Placering: I sydlig del af tidligere kapel
Åbningstider: Hele døgnet",Gentofte,FindToilet
774,"Jægersborg Bibliotek, Smakkegårdsvej 112",Gentofte,2820.0,55.761573,12.526808,Handicap,1,Nej,Ja,Ja,"Placering: I biblioteksbygning
Åbningstider: 6-24",Gentofte,FindToilet
775,"Ordrup Bibliotek, Ejgårdsvej 11",Charlottenlund,2920.0,55.758566,12.573671,Handicap,1,Nej,Ja,Ja,"Placering: I biblioteksbygning
Åbningstider: 6-24",Gentofte,FindToilet
764,"Ordrup Kirkegård, Ellensvej 8",Charlottenlund,2920.0,55.765169,12.576782,Handicap,1,Nej,Nej,Ja,"Placering: I nordvestlig del af tidligere kapel
Åbningstider: 7-17",Gentofte,FindToilet
768,"Skovshoved Havn - Nord, Skovshoved Havn 4",Charlottenlund,2920.0,55.763859,12.599825,Handicap,1,Nej,Nej,Ja,"Placering: I bygning nord for Skovshoved Havn 26A
Åbningstider: Hele døgnet",Gentofte,FindToilet
760,"Skovshoved Havn - Syd, Skovshoved Havn 4",Charlottenlund,2920.0,55.759589,12.599778,Handicap,1,Nej,Ja,Ja,"Placering: I bygning øst for Skovshoved Havn 10A
Åbningstider: Hele døgnet",Gentofte,FindToilet
758,"Teglgårsparken, Melchiorsvej 13",Charlottenlund,2920.0,55.760717,12.591034,Handicap,1,Nej,Nej,Ja,"Placering: I bygning vest for legeplads
Åbningstider: 7-22",Gentofte,FindToilet
776,"Vangede Bibliotek, Vangede Bygade 45",Gentofte,2820.0,55.751076,12.518486,Handicap,1,Nej,Ja,Ja,"Placering: I biblioteksbygning
Åbningstider: 6-24",Gentofte,FindToilet
770,"Bellevue Strand - Nord, Strandvejen 340",Klampenborg,2930.0,55.780054,12.592594,Unisex,0,Nej,Nej,Ja,"Placering: I bygning Bellevue Strand 14
Åbningstider: 7-21",Gentofte,FindToilet
763,"Bellevue Strand - Syd, Strandvejen 340",Klampenborg,2930.0,55.776379,12.591653,Unisex,0,Nej,Nej,Ja,"Placering: I bygning Strandvejen 338A
Åbningstider: 7-21",Gentofte,FindToilet
754,"Femvejen, Femvejen 1",Charlottenlund,2920.0,55.757935,12.557787,Unisex,0,Nej,Nej,Ja,"Placering: I bygning sydvest for rundkørsel
Åbningstider: 7-22",Gentofte,FindToilet
