FID,id,toilet_lokalitet,vejnavn_husnummer,postnummer,toilet_betegnelse,handicapadgang,status,utm_x,utm_y,longitude,latitude,wkb_geometry
toilet_puma_agg_andre_kk.1,1,Center for Afklaring og Beskæftigelse (CAB),Sydbanestien 6,2450 København SV,Toilet,Nej,IDrift,722342.28852994,6173198.23651367,12.53429613,55.65365449,POINT (12.534296127382323 55.65365452339028)
toilet_puma_agg_andre_kk.2,2,Vesterbro Svømmehal,Angelgade 4,1765 København V,Toilet,Nej,IDrift,722560.86981206,6174425.6436517,12.53875734,55.66456224,POINT (12.538757341476124 55.66456227202081)
toilet_puma_agg_andre_kk.3,3,Valby Bibliotek,Annexstræde 2,2500 Valby,Toilet,Nej,IDrift,720943.9998135,6174430.40365242,12.51310704,55.66534274,POINT (12.51310703839972 55.66534276814711)
toilet_puma_agg_andre_kk.4,4,Ørestad Bibliotek,Arne Jacobsens Allé 19,2300 København S,Toilet,Nej,IDrift,725405.30980949,6170861.28365532,12.58096424,55.63128648,POINT (12.580964243320166 55.63128650916359)
toilet_puma_agg_andre_kk.5,5,Center for Arbejdsfastholdelse (JKA),Baldersgade 24,2200 København N,Toilet,Nej,IDrift,722782.77981186,6178339.98364616,12.54545631,55.69956521,POINT (12.545456314047007 55.69956524771208)
toilet_puma_agg_andre_kk.6,6,Bellahøj Hallerne,Bellahøjvej 1,2700 Brønshøj,Toilet,Nej,IDrift,720790.30981365,6178960.53364619,12.51431452,55.70604113,POINT (12.51431452162526 55.70604116296766)
toilet_puma_agg_andre_kk.7,7,Bellahøj Svømmestadion,Bellahøjvej 1-3,2700 Brønshøj,Toilet,Nej,IDrift,720790.30981365,6178960.53364619,12.51431452,55.70604113,POINT (12.51431452162526 55.70604116296766)
toilet_puma_agg_andre_kk.8,8,Thorvaldsens Museum,Bertel Thorvaldsens Plads 2,1213 København K,Toilet,Nej,IDrift,724976.81980988,6175884.51364854,12.57828311,55.67653283,POINT (12.578283111222452 55.67653286326905)
toilet_puma_agg_andre_kk.9,9,Nørrebro Bibliotek,Bragesgade 8B,2200 København N,Toilet,Nej,IDrift,722671.94981196,6178272.6636463,12.54364161,55.69901234,POINT (12.543641614501437 55.69901237031836)
toilet_puma_agg_andre_kk.10,10,Emdrup Bad,Bredelandsvej 20,2100 København Ø,Toilet,Nej,IDrift,722784.52981186,6180433.78364324,12.547187,55.71834193,POINT (12.547186996665957 55.718341966525514)
toilet_puma_agg_andre_kk.11,11,Christianshavns Bibliotek,Dronningensgade 43,1420 København K,Toilet med handicapadgang,Ja,IDrift,725790.81980914,6175351.98364889,12.59076343,55.67137954,POINT (12.590763433506888 55.67137957601263)
toilet_puma_agg_andre_kk.12,12,Bavnehøj idrætsanlæg,Enghavevej 90,2450 København SV,Toilet,Nej,IDrift,722579.02981204,6173882.81365245,12.53860569,55.65968566,POINT (12.538605691530405 55.65968569464167)
toilet_puma_agg_andre_kk.13,13,Sundby Idrætspark,Englandsvej 61,2300 København S,Toilet,Nej,IDrift,726490.73980851,6173029.89365177,12.59995555,55.65022998,POINT (12.59995554916106 55.65023001155411)
toilet_puma_agg_andre_kk.14,14,Frankrigsgade Svømmehal,Frankrigsgade 35,2300 København S,Toilet,Nej,IDrift,727036.06980801,6174470.98364949,12.60979449,55.6628988,POINT (12.609794490372622 55.662898831955644)
toilet_puma_agg_andre_kk.15,15,"Kulturstationen Vanløse, Kulturhus (1.sal)",Frode Jakobsens Plads 4,2720 Vanløse,Toilet,Nej,IDrift,719436.68981485,6176776.61364981,12.49106584,55.68706828,POINT (12.491065844920335 55.68706831344942)
