FID,id,toilet_lokalitet,vejnavn_husnummer,postnummer,toilet_betegnelse,toilettype_design,handicapadgang,aabningstid_doegn,aabningsperiode,status,grafitti_ansvarlig,driftsbydel,utm_x,utm_y,longitude,latitude,wkb_geometry
toilet_puma_agg_tmf_kk.1,1,Ved Hvidtfeldtmonumentet,Langelinie 25,2100 København Ø,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Indre By,726218.90891202,6177488.84307448,12.59931787,55.69034309,POINT (12.599317874441217 55.690343127053566)
toilet_puma_agg_tmf_kk.2,2,Ved Svend Vonveds Vej,Amager Strandvej 219,2300 København S,Toilet med handicapadgang,Standardtoilet Zenzo,Ja,Døgnåbent,Helårsåbent,IDrift,TMF (Kontrakter),Amager Øst,729039.84785093,6173276.84447184,12.64058687,55.65125043,POINT (12.640586866850164 55.65125046154681)
toilet_puma_agg_tmf_kk.3,3,Kastrup Fort,Amager Strandvej 244,2300 København S,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Amager Øst,728944.01821425,6173007.77672239,12.63884305,55.64888274,POINT (12.638843053750161 55.64888277432403)
toilet_puma_agg_tmf_kk.4,4,Amager Strandpark,Amager Strandvej 55,2300 København S,Toilet,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Amager Øst,728465.67135315,6174440.5742698,12.63244831,55.66195618,POINT (12.632448308295457 55.66195621512439)
toilet_puma_agg_tmf_kk.5,5,Amagertorv,Amagertorv 1F,1160 København K,Toilet med personale,"Bygning (park, strand, legeplads, kirkegård)",Nej,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Indre By,725030.86265917,6176142.03722947,12.57935193,55.67881724,POINT (12.57935192684613 55.67881727096121)
toilet_puma_agg_tmf_kk.6,6,Balders Plads,Baldersgade 60,2200 København N,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Vinterlukket,IDrift,TMF (Kontrakter),Nørrebro,722955.48393061,6178543.00437844,12.54836404,55.70130663,POINT (12.548364043403494 55.70130666114652)
toilet_puma_agg_tmf_kk.7,7,Ørstedsparken,Nørre Farimagsgade 2A,1364 København K,Toilet med handicapadgang,"Bygning (park, strand, legeplads, kirkegård)",Ja,Natlukket,Helårsåbent,IDrift,Renhold City Middelalderbyen,Indre By,724093.31705402,6176267.34890056,12.56457404,55.6803745,POINT (12.564574038673518 55.6803745307748)
toilet_puma_agg_tmf_kk.8,8,Blågårds Plads,Blågårds Plads 5B,2200 København N,Pissoir,Pissoir (fritstående),Nej,Døgnåbent,Vinterlukket,IDrift,TMF (Kontrakter),Nørrebro,723583.67367729,6176896.717057,12.55699773,55.68625361,POINT (12.556997730949167 55.68625364285514)
toilet_puma_agg_tmf_kk.9,9,Borgergade,Borgergade 1F,1300 København K,Toilet med handicapadgang,Standardtoilet Zenzo,Ja,Døgnåbent,Helårsåbent,IDrift;TagetPermanentUdAfDrift,Renhold City Middelalderbyen,Indre By,725286.96288361,6176523.91560255,12.58373004,55.68212314,POINT (12.583730044269888 55.682123174645845)
toilet_puma_agg_tmf_kk.10,10,Vor Frue Plads,Dyrkøb 2,1165 København K,Toilet,AFA søjle,Nej,Døgnåbent,Helårsåbent,IDrift,AFA JC Decaux,Indre By,724671.95406281,6176172.06827036,12.57368016,55.6792527,POINT (12.573680157296593 55.67925273686844)
